Timestamp;Latitude;Longitude;Bearing;Altitude;Speed (km/h);Location accuracy (in meters);Value X;Value Y;Value Z
2020-03-04 18:49:47;62.2445624;25.76107901;129.3;108.0;1.5121177;4.0;-0.50757074;-4.673482;3.6487634
2020-03-04 18:49:48;62.2445624;25.76107901;129.3;108.0;1.5121177;4.0;7.240066;-20.733788;-3.5338416
2020-03-04 18:49:50;62.24453507;25.76115575;142.5;109.0;2.061965;4.0;7.2687964;-15.102624;0.60333884
2020-03-04 18:49:57;62.24450243;25.76134599;119.2;108.0;1.5126797;6.0;0.9959879;-6.8569937;-0.21068975
2020-03-04 18:50:04;62.2445164;25.76131972;135.1;106.0;1.7123668;5.0;-0.62249243;-1.1204864;-2.4420857
2020-03-04 18:50:05;62.24440816;25.76135368;145.6;108.0;1.592608;7.0;1.8579005;-6.4643445;1.043872
2020-03-04 18:50:06;62.24440816;25.76135368;145.6;108.0;1.592608;7.0;1.0055647;-17.458519;-0.4213795
2020-03-04 18:50:06;62.24438737;25.76133247;140.7;107.0;1.2110327;7.0;1.2737153;-6.5026517;2.3080103
2020-03-04 18:50:07;62.24438737;25.76133247;140.7;107.0;1.2110327;7.0;4.9320555;-13.88637;-0.038307227
2020-03-04 18:50:08;62.24436784;25.76148297;147.5;111.0;1.6063935;5.0;-0.5554548;-3.3614593;2.5187001
2020-03-04 18:50:15;62.24427161;25.76168871;169.0;107.0;1.17047;7.0;-1.13964;-13.685257;-1.436521
2020-03-04 18:50:22;62.24426303;25.76171551;169.1;107.0;0.75133216;6.0;6.83784;-21.701044;-2.4037786
2020-03-04 18:50:24;62.24416353;25.76177719;151.9;107.0;1.5715278;7.0;2.078167;-8.858546;1.8770541
2020-03-04 18:50:31;62.24414657;25.7617827;152.4;107.0;1.5600319;7.0;0.9959879;-7.019799;2.2409728
2020-03-04 18:50:33;62.24406337;25.76181611;175.4;106.0;1.4600343;8.0;0.92895025;-7.1730285;-1.685518
2020-03-04 18:50:40;62.24405027;25.76181881;175.4;106.0;1.4600343;9.0;3.083732;-14.346057;-0.39264908
2020-03-04 18:50:41;62.24390444;25.76183203;187.3;105.0;1.44;7.0;-0.019153614;-16.069881;-5.6790466
2020-03-04 18:50:42;62.24390444;25.76183203;187.3;105.0;1.44;7.0;4.644751;-17.209522;-1.9728222
2020-03-04 18:50:42;62.24389161;25.76182851;187.3;105.0;1.44;8.0;1.1779473;-15.26543;-1.8004397
2020-03-04 18:50:43;62.24389161;25.76182851;187.3;105.0;1.44;8.0;0.9864111;-18.86631;4.10845
2020-03-04 18:50:43;62.24387878;25.76182499;187.3;105.0;1.44;9.0;-0.15322891;-12.469003;-7.7667904
2020-03-04 18:50:44;62.24387878;25.76182499;187.3;105.0;1.44;9.0;8.446744;-27.092787;-8.0924015
2020-03-04 18:50:44;62.24387878;25.76182499;187.3;105.0;1.44;9.0;2.3175871;-14.422671;3.8402996
2020-03-04 18:50:45;62.24387878;25.76182499;187.3;105.0;1.44;9.0;-2.432509;-21.815966;18.760965
2020-03-04 18:50:45;62.24387311;25.76183365;197.7;105.0;1.3124404;5.0;0.31603462;-9.653421;0.8714894
2020-03-04 18:50:46;62.24387311;25.76183365;197.7;105.0;1.3124404;5.0;-0.19153613;-2.6910827;0.92895025
2020-03-04 18:50:46;62.24388505;25.76174618;203.6;101.0;1.3337542;4.0;2.2122424;-6.339846;-0.9576807
2020-03-04 18:50:47;62.24388505;25.76174618;203.6;101.0;1.3337542;4.0;0.23942018;-13.311762;-1.9440918
2020-03-04 18:50:47;62.24388104;25.76172175;202.4;100.0;1.4405555;4.0;0.18195933;-6.8761473;-2.2122424
2020-03-04 18:50:48;62.24388104;25.76172175;202.4;100.0;1.4405555;4.0;1.8483237;-15.303738;-2.135628
2020-03-04 18:50:48;62.24386169;25.76171278;197.8;100.0;1.928419;4.0;4.414908;-19.756952;-2.2697031
2020-03-04 18:50:49;62.24386169;25.76171278;197.8;100.0;1.928419;4.0;-0.7469909;-11.81778;-9.873688
2020-03-04 18:50:49;62.24384999;25.76168431;198.2;100.0;1.5749604;4.0;4.817134;-42.635944;3.9552212
2020-03-04 18:50:50;62.24384999;25.76168431;198.2;100.0;1.5749604;4.0;2.5953147;-14.834474;4.1180267
2020-03-04 18:50:50;62.24384245;25.76168203;198.2;101.0;1.42088;4.0;-5.592855;-25.119965;17.046717
2020-03-04 18:50:52;62.24382138;25.76163689;203.0;101.0;2.1674871;3.0;0.7469909;-13.129802;1.9057846
2020-03-04 18:50:59;62.24370216;25.76151093;199.4;104.0;1.5925452;5.0;1.532289;-5.439626;0.50757074
2020-03-04 18:51:06;62.24365729;25.76147699;220.1;104.0;1.5890248;6.0;1.8770541;-7.469909;-0.24899697
2020-03-04 18:51:13;62.24355607;25.76134691;212.9;98.0;1.647574;6.0;-2.4612393;-14.049175;-3.0071173
2020-03-04 18:51:20;62.2435236;25.76120871;213.2;104.0;0.8736704;7.0;5.353435;-11.702858;-0.7374141
2020-03-04 18:51:27;62.24338915;25.76120566;205.8;105.0;2.394097;9.0;-5.353435;-17.027563;14.748282
2020-03-04 18:51:29;62.24331502;25.76125986;207.1;107.0;1.6208639;8.0;0.06703765;-6.301539;-2.7389667
2020-03-04 18:51:36;62.24329781;25.76126359;235.3;108.0;1.1011358;8.0;-3.265691;-23.874979;11.415554
2020-03-04 18:51:38;62.24318992;25.76118972;204.9;104.0;1.5602883;7.0;0.4405331;-5.851429;1.8100165
2020-03-04 18:51:45;62.2431772;25.76117702;205.0;104.0;1.5601281;8.0;1.1683705;-2.3750482;-7.2304893
2020-03-04 18:51:45;62.2431772;25.76117702;205.0;104.0;1.5601281;8.0;-3.2848446;-6.2249246;9.768343
2020-03-04 18:51:46;62.2431772;25.76117702;205.0;104.0;1.5601281;8.0;-0.047884032;-7.6231384;1.283292
2020-03-04 18:51:46;62.2431772;25.76117702;205.0;104.0;1.5601281;8.0;-1.7429788;-2.96881;0.9576807
2020-03-04 18:51:47;62.24306212;25.76127199;190.0;102.0;1.4317821;8.0;1.934515;-7.5561004;-0.63206923
2020-03-04 18:51:47;62.24306212;25.76127199;190.0;102.0;1.4317821;8.0;0.1436521;-1.292869;-3.4284968
2020-03-04 18:51:48;62.24304972;25.76126726;190.0;102.0;1.412834;9.0;0.92895025;-7.2304893;-2.2888567
2020-03-04 18:51:48;62.24304972;25.76126726;190.0;102.0;1.412834;9.0;0.076614454;-12.459426;-1.1109096
2020-03-04 18:51:49;62.24304972;25.76126726;190.0;102.0;1.412834;9.0;4.3382936;-12.823344;-0.7661445
2020-03-04 18:51:49;62.24304972;25.76126726;190.0;102.0;1.412834;9.0;-1.4748282;-11.348516;-7.3645644
2020-03-04 18:51:50;62.24303743;25.76121305;166.1;103.0;1.5931416;6.0;-4.4436383;-45.67179;2.1643584
2020-03-04 18:51:50;62.24303743;25.76121305;166.1;103.0;1.5931416;6.0;-2.2218192;-11.9614315;1.2737153
2020-03-04 18:51:51;62.24302072;25.76123401;153.1;104.0;1.9406443;5.0;-2.8634653;-16.749836;14.106636
2020-03-04 18:51:51;62.24302072;25.76123401;153.1;104.0;1.9406443;5.0;-1.7717092;-10.5919485;1.0534488
2020-03-04 18:51:52;62.24300748;25.76123762;154.5;102.0;1.6573774;4.0;-1.2066777;-2.1547816;2.2409728
2020-03-04 18:51:52;62.24300748;25.76123762;154.5;102.0;1.6573774;4.0;1.6280571;-6.3685765;-1.8579005
2020-03-04 18:51:53;62.24298702;25.76124792;154.6;101.0;1.4921461;4.0;-1.2162545;-0.11492168;-2.087744
2020-03-04 18:51:54;62.24297685;25.76127038;150.5;102.0;1.7670598;4.0;-5.851429;2.5953147;-4.721366
